MatchId,Team1,Team2,Time
Match1,MI,RCB,4/9/2021 19:30:00
Match2,CSK,DC,4/10/2021 19:30:00
Match3,KKR,SRH,4/11/2021 19:30:00
Match4,RR,PKBS,4/12/2021 19:30:00
Match5,KKR,MI,4/13/2021 19:30:00
Match6,SRH,RCB,4/14/2021 19:30:00
Match7,RR,DC,4/15/2021 19:30:00
Match8,PBKS,CSK,4/16/2021 19:30:00
Match9,MI,SRH,4/17/2021 19:30:00
Match10,RCB,KKR,4/18/2021 15:30:00
Match11,DC,PKBS,4/18/2021 19:30:00
Match12,CSK,RR,4/19/2021 19:30:00
Match13,DC,MI,4/20/2021 19:30:00
Match14,PBKS,SRH,4/21/2021 15:30:00
Match15,KKR,CSK,4/21/2021 19:30:00
Match16,RCB,RR,4/22/2021 19:30:00
Match17,PBKS,MI,4/23/2021 19:30:00
Match18,RR,KKR,4/24/2021 19:30:00
Match19,CSK,RCB,4/25/2021 15:30:00
Match20,SRH,DC,4/25/2021 19:30:00
Match21,PBKS,KKR,4/26/2021 19:30:00
Match22,DC,RCB,4/27/2021 19:30:00
Match23,CSK,SRH,4/28/2021 19:30:00
Match24,MI,RR,4/29/2021 15:30:00
Match25,DC,KKR,4/29/2021 19:30:00
Match26,PBKS,RCB,4/30/2021 19:30:00
Match27,MI,CSK,5/1/2021 19:30:00
Match28,RR,SRH,5/2/2021 15:30:00
Match29,PBKS,DC,5/2/2021 19:30:00
Match30,KKR,RCB,5/3/2021 19:30:00
Match31,SRH,MI,5/4/2021 19:30:00
Match32,RR,CSK,5/5/2021 19:30:00
Match33,RCB,PBKS,5/6/2021 19:30:00
Match34,SRH,CSK,5/7/2021 19:30:00
Match35,KKR,DC,5/8/2021 15:30:00
Match36,RR,MI,5/8/2021 19:30:00
Match37,CSK,PBKS,5/9/2021 15:30:00
Match38,RCB,SRH,5/9/2021 19:30:00
Match39,MI,KKR,5/10/2021 19:30:00
Match40,DC,RR,5/11/2021 19:30:00
Match41,CSK,KKR,5/12/2021 19:30:00
Match42,MI,PBKS,5/13/2021 15:30:00
Match43,SRH,RR,5/13/2021 19:30:00
Match44,RCB,DC,5/14/2021 19:30:00
Match45,KKR,PBKS,5/15/2021 19:30:00
Match46,RR,RCB,5/16/2021 15:30:00
Match47,CSk,MI,5/16/2021 19:30:00
Match48,DC,SRH,5/17/2021 19:30:00
Match49,KKR,RR,5/18/2021 19:30:00
Match50,SRH,PBKS,5/19/2021 19:30:00
Match51,RCB,MI,5/20/2021 19:30:00
Match52,KKR,SRH,5/21/2021 15:30:00
Match53,DC,CSK,5/21/2021 19:30:00
Match54,PBKS,RR,5/22/2021 15:30:00
Match55,MI,DC,5/23/2021 15:30:00
Match56,RCB,CSK,5/23/2021 19:30:00
